framework,file,model,prompt_id,exec_time,syntax_valid,syntax_error_msg,total_individuals,approx_triples,cls_tp,cls_fp,cls_fn,cls_precision,cls_recall,cls_f1,obj_tp,obj_fp,obj_fn,obj_precision,obj_recall,obj_f1,data_tp,data_fp,data_fn,data_precision,data_recall,data_f1,macro_precision,macro_recall,macro_f1,missing_concepts,missing_obj_props,missing_data_props,hallucinated_classes,duplicate_subjects,undefined_refs,onto_classes_found,extra_classes,used_obj_props,used_data_props
CrewAI,game-builder-crew_instances.ttl,chatgpt,P1,43.2,True,,30,140,9,0,1,1.0,0.9,0.9474,9,0,1,1.0,0.9,0.9474,6,0,1,1.0,0.8571,0.9231,1.0,0.8857,0.9393,Tool,hasTeamGoal,promptOutputIndicator,,,,Config; EndStep; Goal; Instance; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; WorkflowPattern; WorkflowStep,,agentPrompt; containsResource; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasConfig; hasGoal; hasObjective; hasSystemConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInstruction; stepOrder
CrewAI,job-posting_instances.ttl,chatgpt,P1,72.57,True,,38,200,10,0,0,1.0,1.0,1.0,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9667,0.9825,,hasTeamGoal,,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; contributesToObjective; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasSystemConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,prep-for-a-meeting_instances.ttl,chatgpt,P1,69.86,True,,33,160,8,0,2,1.0,0.8,0.8889,6,0,4,1.0,0.6,0.75,5,0,2,1.0,0.7143,0.8333,1.0,0.7048,0.8241,Config; LanguageModel,hasAgentConfig; hasTeamGoal; nextStep; useLanguageModel,configKey; configValue,,,,Capability; EndStep; Goal; LLMAgent; Objective; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasObjective; hasWorkflowPattern; hasWorkflowStep; performedByAgent; producedResource; relatedStep; taskPrompt,agentID; agentRole; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,recruitment_instances.ttl,chatgpt,P1,62.08,True,,39,235,10,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Objective; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentResourceUsage; agentToolUsage; contributesToGoal; contributesToObjective; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasObjective; hasSystemConfig; hasTeamGoal; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,starter_template_instances.ttl,chatgpt,P1,48.3,True,,18,79,7,0,2,1.0,0.7778,0.875,8,0,2,1.0,0.8,0.8889,4,0,3,1.0,0.5714,0.7273,1.0,0.7164,0.8304,Config; WorkflowStep,hasAgentConfig; hasTeamGoal,agentID; configKey; configValue,,,,EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern,,agentPrompt; containsResource; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentRole; promptContext; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,game-builder-crew_instances.ttl,claude,P1,25.27,True,,20,104,9,0,1,1.0,0.9,0.9474,7,0,3,1.0,0.7,0.8235,7,0,0,1.0,1.0,1.0,1.0,0.8667,0.9236,Tool,agentPrompt; hasAgentConfig; hasTeamGoal,,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Objective; Prompt; StartStep; Task; Team; WorkflowPattern; WorkflowStep,,hasAgentGoal; hasAgentMember; hasAssociatedTask; hasObjective; hasSystemConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,industry-agents_instances.ttl,gemini,P1,9.9,True,,24,113,10,0,0,1.0,1.0,1.0,8,0,2,1.0,0.8,0.8889,6,0,1,1.0,0.8571,0.9231,1.0,0.8857,0.9373,,hasAgentConfig; hasTeamGoal,agentID,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentRole; configKey; configValue; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,instagram_post_instances.ttl,gemini,P1,14.11,True,,41,197,9,0,1,1.0,0.9,0.9474,8,0,2,1.0,0.8,0.8889,4,0,3,1.0,0.5714,0.7273,1.0,0.7571,0.8545,Config,hasAgentConfig; hasTeamGoal,configKey; configValue; promptOutputIndicator,,,,EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasWorkflowPattern; hasWorkflowStep; nextPattern; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentID; agentRole; promptInstruction; stepOrder
CrewAI,job-posting_instances.ttl,gemini,P1,12.89,True,,27,160,9,0,1,1.0,0.9,0.9474,7,0,3,1.0,0.7,0.8235,5,0,2,1.0,0.7143,0.8333,1.0,0.7714,0.8681,Config,agentPrompt; hasAgentConfig; hasTeamGoal,configKey; configValue,,,,EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentToolUsage; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; resourceUsage; taskPrompt; useLanguageModel,agentID; agentRole; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,game-builder-crew_instances.ttl,chatgpt,P2,67.75,True,,33,156,9,1,1,0.9,0.9,0.9,10,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,0.9667,0.9667,0.9667,Tool,,,Context,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; WorkflowPattern; WorkflowStep,Context,agentPrompt; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasTeamGoal; hasWorkflowPattern; hasWorkflowStep; interactsWith; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,job-posting_instances.ttl,chatgpt,P2,84.97,True,,49,259,10,0,0,1.0,1.0,1.0,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9667,0.9825,,hasTeamGoal,,,,,Capability; Config; EndStep; Goal; Instance; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,prep-for-a-meeting_instances.ttl,chatgpt,P2,70.65,True,,34,206,9,0,1,1.0,0.9,0.9474,8,0,2,1.0,0.8,0.8889,7,0,0,1.0,1.0,1.0,1.0,0.9,0.9454,LanguageModel,hasAgentConfig; useLanguageModel,,,,,Capability; Config; EndStep; Goal; LLMAgent; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasTeamGoal; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt,agentID; agentRole; configKey; configValue; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,recruitment_instances.ttl,chatgpt,P2,72.16,True,,54,254,10,0,0,1.0,1.0,1.0,10,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,Capability; Config; EndStep; Environment; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasSubPattern; hasTeamGoal; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,starter_template_instances.ttl,chatgpt,P2,64.48,True,,25,98,7,1,2,0.875,0.7778,0.8235,6,0,4,1.0,0.6,0.75,6,0,1,1.0,0.8571,0.9231,0.9583,0.745,0.8322,WorkflowPattern; WorkflowStep,hasTeamGoal; hasWorkflowPattern; hasWorkflowStep; nextStep,stepOrder,Context,,,Capability; Config; Goal; Instance; LLMAgent; LanguageModel; Prompt; Task; Team; Tool,Context,agentPrompt; hasAgentConfig; hasAgentGoal; hasAgentMember; hasCapability; performedByAgent; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInputData; promptInstruction; promptOutputIndicator
CrewAI,game-builder-crew_instances.ttl,claude,P2,44.16,True,,29,177,9,0,1,1.0,0.9,0.9474,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9333,0.9649,Tool,hasTeamGoal,,,,,Capability; Config; EndStep; Goal; Instance; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; WorkflowPattern; WorkflowStep,,agentPrompt; hasAgentCapability; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasSystemConfig; hasWorkflowPattern; hasWorkflowStep; interactsWith; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,game-builder-crew_instances.ttl,gemini,P2,11.21,True,,22,97,8,0,2,1.0,0.8,0.8889,9,0,1,1.0,0.9,0.9474,5,0,2,1.0,0.7143,0.8333,1.0,0.8048,0.8899,Config; Tool,hasAgentConfig,configKey; configValue,,,,EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; WorkflowPattern; WorkflowStep,,agentPrompt; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasTeamGoal; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentID; agentRole; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,industry-agents_instances.ttl,gemini,P2,13.15,True,,29,141,10,0,0,1.0,1.0,1.0,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9667,0.9825,,hasAgentConfig,,,,,Capability; Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasTeamGoal; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,instagram_post_instances.ttl,gemini,P2,20.78,True,,45,233,9,0,1,1.0,0.9,0.9474,8,0,2,1.0,0.8,0.8889,5,0,2,1.0,0.7143,0.8333,1.0,0.8048,0.8899,Config,hasAgentConfig; hasTeamGoal,configKey; configValue,,,,Capability; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,job-posting_instances.ttl,gemini,P2,15.96,True,,36,184,10,0,0,1.0,1.0,1.0,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9667,0.9825,,hasAgentConfig,,,,,Capability; Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasTeamGoal; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,game-builder-crew_instances.ttl,chatgpt,P3,90.08,True,,35,152,10,0,0,1.0,1.0,1.0,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9667,0.9825,,nextStep,,,,,Capability; Config; EndStep; Goal; Instance; KnowledgeBase; LLMAgent; LanguageModel; Objective; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasKnowledge; hasObjective; hasSystemConfig; hasTeamGoal; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; performedByAgent; producedResource; relatedStep; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,job-posting_instances.ttl,chatgpt,P3,99.32,True,,43,221,9,1,1,0.9,0.9,0.9,8,0,2,1.0,0.8,0.8889,6,0,1,1.0,0.8571,0.9231,0.9667,0.8524,0.904,Goal,hasTeamGoal; nextStep,agentID,Context,,,Config; EndStep; Instance; KnowledgeBase; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,Context,agentPrompt; agentToolUsage; hasAgentConfig; hasAgentMember; hasAssociatedTask; hasKnowledge; hasSystemConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; interactsWith; performedByAgent; producedResource; taskPrompt; useLanguageModel,agentRole; configKey; configValue; promptContext; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,prep-for-a-meeting_instances.ttl,chatgpt,P3,87.76,True,,36,176,10,0,0,1.0,1.0,1.0,8,0,2,1.0,0.8,0.8889,7,0,0,1.0,1.0,1.0,1.0,0.9333,0.963,,hasAgentConfig; hasTeamGoal,,,,,Capability; Config; EndStep; Goal; Instance; LLMAgent; LanguageModel; Objective; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; contributesToObjective; hasAgentCapability; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasObjective; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,recruitment_instances.ttl,chatgpt,P3,79.23,True,,38,213,10,0,0,1.0,1.0,1.0,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9667,0.9825,,hasTeamGoal,,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasSystemConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; interactsWith; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,starter_template_instances.ttl,chatgpt,P3,82.05,True,,22,106,8,0,1,1.0,0.8889,0.9412,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9296,0.9629,WorkflowStep,hasTeamGoal,,,,,Capability; Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern,,agentPrompt; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasSystemConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,game-builder-crew_instances.ttl,claude,P3,35.1,True,,30,124,9,0,1,1.0,0.9,0.9474,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9333,0.9649,Tool,hasTeamGoal,,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Objective; Prompt; StartStep; Task; Team; WorkflowPattern; WorkflowStep,,agentPrompt; contributesToObjective; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasObjective; hasSystemConfig; hasWorkflowPattern; hasWorkflowStep; interactsWith; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,industry-agents_instances.ttl,gemini,P3,12.41,True,,21,86,9,0,1,1.0,0.9,0.9474,8,0,2,1.0,0.8,0.8889,7,0,0,1.0,1.0,1.0,1.0,0.9,0.9454,Goal,hasAgentConfig; hasTeamGoal,,,,,Config; EndStep; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentMember; hasAssociatedTask; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,instagram_post_instances.ttl,gemini,P3,26.58,True,,35,204,8,0,2,1.0,0.8,0.8889,8,0,2,1.0,0.8,0.8889,4,0,3,1.0,0.5714,0.7273,1.0,0.7238,0.835,Config; Goal,hasAgentConfig; hasTeamGoal,configKey; configValue; promptOutputIndicator,,,,EndStep; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentMember; hasAssociatedTask; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; promptContext; promptInstruction; stepOrder
